lam1,lam2,h,pi1,pi2,T,I2,tau0,cu,Ibar_now,floor_future,waiting_now,overtaken_later,V,instance
6.74,7.35,2.17,0.72,2.52,8.8,28,8.8,13.961,47,40,TRUE,FALSE,543.0786047,3
6.74,7.35,2.17,0.72,2.52,8.8,28,8.8,15.492,50,44,TRUE,FALSE,543.0786047,3
6.74,7.35,2.17,0.72,2.52,8.8,28,8.8,17.024,52,48,TRUE,FALSE,543.0786047,3
6.74,7.35,2.17,0.72,2.52,8.8,28,8.8,18.555,55,52,TRUE,FALSE,543.0786047,3
6.74,7.35,2.17,0.72,2.52,8.8,28,8.8,20.086,57,56,TRUE,FALSE,543.0786047,3
6.74,7.35,2.17,0.72,2.52,8.8,28,8.8,21.617,61,60,TRUE,FALSE,543.0786047,3
10.66,1.85,0.66,3.68,10.94,9.5,11,9.5,5.257,12,5,TRUE,TRUE,1952.837327,4
10.66,1.85,0.66,3.68,10.94,9.5,11,9.5,7.739,13,6,TRUE,TRUE,1953.20192,4
10.66,1.85,0.66,3.68,10.94,9.5,11,9.5,10.222,13,7,TRUE,TRUE,1953.390682,4
10.66,1.85,0.66,3.68,10.94,9.5,11,9.5,12.704,14,9,TRUE,TRUE,1953.473108,4
10.66,1.85,0.66,3.68,10.94,9.5,11,9.5,15.186,14,10,TRUE,TRUE,1953.500537,4
10.66,1.85,0.66,3.68,10.94,9.5,11,9.5,17.669,15,11,TRUE,TRUE,1953.506203,4
10.66,1.85,0.66,3.68,10.94,9.5,11,9.5,20.151,15,12,TRUE,FALSE,1953.506515,4
10.66,1.85,0.66,3.68,10.94,9.5,11,9.5,22.634,16,14,TRUE,FALSE,1953.506515,4
10.66,1.85,0.66,3.68,10.94,9.5,11,9.5,25.116,16,15,TRUE,FALSE,1953.506515,4
10.66,1.85,0.66,3.68,10.94,9.5,11,9.5,27.598,17,16,TRUE,FALSE,1953.506515,4
10.66,1.85,0.66,3.68,10.94,9.5,11,9.5,30.081,18,17,TRUE,FALSE,1953.506515,4
10.66,1.85,0.66,3.68,10.94,9.5,11,9.5,32.563,19,19,TRUE,FALSE,1953.506515,4
10.66,1.85,0.66,3.68,10.94,9.5,11,9.5,35.046,20,20,TRUE,FALSE,1953.506515,4
1.37,3.19,2.55,2.42,7.6,6.6,12,6.6,4.182,13,5,TRUE,TRUE,245.7192132,5
1.37,3.19,2.55,2.42,7.6,6.6,12,6.6,6.157,13,6,TRUE,TRUE,246.0939497,5
1.37,3.19,2.55,2.42,7.6,6.6,12,6.6,8.132,14,8,TRUE,TRUE,246.220944,5
1.37,3.19,2.55,2.42,7.6,6.6,12,6.6,10.107,15,9,TRUE,TRUE,246.2579915,5
1.37,3.19,2.55,2.42,7.6,6.6,12,6.6,12.082,15,11,TRUE,TRUE,246.2659126,5
1.37,3.19,2.55,2.42,7.6,6.6,12,6.6,14.057,16,12,TRUE,TRUE,246.2668452,5
1.37,3.19,2.55,2.42,7.6,6.6,12,6.6,16.032,17,14,TRUE,FALSE,246.2668602,5
1.37,3.19,2.55,2.42,7.6,6.6,12,6.6,18.007,17,15,TRUE,FALSE,246.2668602,5
1.37,3.19,2.55,2.42,7.6,6.6,12,6.6,19.982,18,17,TRUE,FALSE,246.2668602,5
1.37,3.19,2.55,2.42,7.6,6.6,12,6.6,21.957,19,18,TRUE,FALSE,246.2668602,5
1.37,3.19,2.55,2.42,7.6,6.6,12,6.6,23.932,20,19,TRUE,FALSE,246.2668602,5
1.37,3.19,2.55,2.42,7.6,6.6,12,6.6,25.907,21,21,TRUE,FALSE,246.2668602,5
1.37,3.19,2.55,2.42,7.6,6.6,12,6.6,27.882,22,22,TRUE,FALSE,246.2668602,5
11.06,3.95,2.04,2.34,7.37,9.6,21,9.6,5.361,23,8,TRUE,TRUE,1598.410693,6
11.06,3.95,2.04,2.34,7.37,9.6,21,9.6,7.893,24,10,TRUE,TRUE,1598.479082,6
11.06,3.95,2.04,2.34,7.37,9.6,21,9.6,10.424,25,13,TRUE,TRUE,1598.49267,6
11.06,3.95,2.04,2.34,7.37,9.6,21,9.6,12.956,26,15,TRUE,TRUE,1598.494931,6
11.06,3.95,2.04,2.34,7.37,9.6,21,9.6,15.488,27,18,TRUE,TRUE,1598.495187,6
11.06,3.95,2.04,2.34,7.37,9.6,21,9.6,18.019,28,21,TRUE,TRUE,1598.4952,6
11.06,3.95,2.04,2.34,7.37,9.6,21,9.6,20.551,30,23,TRUE,FALSE,1598.4952,6
11.06,3.95,2.04,2.34,7.37,9.6,21,9.6,23.083,31,26,TRUE,FALSE,1598.4952,6
11.06,3.95,2.04,2.34,7.37,9.6,21,9.6,25.614,32,28,TRUE,FALSE,1598.4952,6
11.06,3.95,2.04,2.34,7.37,9.6,21,9.6,28.146,33,31,TRUE,FALSE,1598.4952,6
11.06,3.95,2.04,2.34,7.37,9.6,21,9.6,30.678,35,33,TRUE,FALSE,1598.4952,6
11.06,3.95,2.04,2.34,7.37,9.6,21,9.6,33.209,36,35,TRUE,FALSE,1598.4952,6
11.06,3.95,2.04,2.34,7.37,9.6,21,9.6,35.741,38,38,TRUE,FALSE,1598.4952,6
1.63,0.94,0.82,1.66,2.39,8.2,2,8.2,2.593,3,2,TRUE,TRUE,137.5178769,7
1.63,0.94,0.82,1.66,2.39,8.2,2,8.2,3.817,3,3,TRUE,FALSE,137.535901,7
1.63,0.94,0.82,1.66,2.39,8.2,2,8.2,5.042,4,3,TRUE,FALSE,137.535901,7
1.63,0.94,0.82,1.66,2.39,8.2,2,8.2,6.266,4,4,TRUE,FALSE,137.535901,7
1.63,0.94,0.82,1.66,2.39,8.2,2,8.2,7.49,5,4,TRUE,FALSE,137.535901,7
1.63,0.94,0.82,1.66,2.39,8.2,2,8.2,8.715,5,5,TRUE,FALSE,137.535901,7
1.63,0.94,0.82,1.66,2.39,8.2,2,8.2,9.939,5,5,TRUE,FALSE,137.535901,7
1.63,0.94,0.82,1.66,2.39,8.2,2,8.2,11.164,6,6,TRUE,FALSE,137.535901,7
1.63,0.94,0.82,1.66,2.39,8.2,2,8.2,12.388,6,6,TRUE,FALSE,137.535901,7
1.63,0.94,0.82,1.66,2.39,8.2,2,8.2,13.612,7,7,TRUE,FALSE,137.535901,7
1.63,0.94,0.82,1.66,2.39,8.2,2,8.2,14.837,7,7,TRUE,FALSE,137.535901,7
1.63,0.94,0.82,1.66,2.39,8.2,2,8.2,16.061,8,8,TRUE,FALSE,137.535901,7
1.63,0.94,0.82,1.66,2.39,8.2,2,8.2,17.286,9,9,TRUE,FALSE,137.535901,7
2.09,6.76,2.25,2.78,5.13,6,15,6,3.848,17,7,TRUE,TRUE,397.9769626,8
2.09,6.76,2.25,2.78,5.13,6,15,6,5.665,19,10,TRUE,TRUE,397.9779987,8
2.09,6.76,2.25,2.78,5.13,6,15,6,7.482,20,12,TRUE,TRUE,397.9780055,8
2.09,6.76,2.25,2.78,5.13,6,15,6,9.299,22,15,TRUE,TRUE,397.9780056,8
2.09,6.76,2.25,2.78,5.13,6,15,6,11.116,24,18,TRUE,FALSE,397.9780056,8
2.09,6.76,2.25,2.78,5.13,6,15,6,12.933,25,20,TRUE,FALSE,397.9780056,8
2.09,6.76,2.25,2.78,5.13,6,15,6,14.75,27,23,TRUE,FALSE,397.9780056,8
2.09,6.76,2.25,2.78,5.13,6,15,6,16.568,29,25,TRUE,FALSE,397.9780056,8
2.09,6.76,2.25,2.78,5.13,6,15,6,18.385,30,28,TRUE,FALSE,397.9780056,8
2.09,6.76,2.25,2.78,5.13,6,15,6,20.202,32,31,TRUE,FALSE,397.9780056,8
2.09,6.76,2.25,2.78,5.13,6,15,6,22.019,34,33,TRUE,FALSE,397.9780056,8
2.09,6.76,2.25,2.78,5.13,6,15,6,23.836,36,36,TRUE,FALSE,397.9780056,8
2.09,6.76,2.25,2.78,5.13,6,15,6,25.653,38,38,TRUE,FALSE,397.9780056,8
1.24,2.67,0.67,0.22,7.5,6.8,18,6.8,0.772,19,6,TRUE,TRUE,58.58526021,9
1.24,2.67,0.67,0.22,7.5,6.8,18,6.8,1.136,19,8,TRUE,TRUE,58.95140396,9
1.24,2.67,0.67,0.22,7.5,6.8,18,6.8,1.5,19,9,TRUE,TRUE,59.23829211,9
1.24,2.67,0.67,0.22,7.5,6.8,18,6.8,1.865,19,11,TRUE,TRUE,59.45229681,9
1.24,2.67,0.67,0.22,7.5,6.8,18,6.8,2.229,20,12,TRUE,TRUE,59.60225407,9
1.24,2.67,0.67,0.22,7.5,6.8,18,6.8,2.594,20,14,TRUE,TRUE,59.69724809,9
1.24,2.67,0.67,0.22,7.5,6.8,18,6.8,2.958,20,15,TRUE,TRUE,59.74959033,9
1.24,2.67,0.67,0.22,7.5,6.8,18,6.8,3.322,21,17,TRUE,TRUE,59.77210073,9
1.24,2.67,0.67,0.22,7.5,6.8,18,6.8,3.687,21,18,TRUE,TRUE,59.7780375,9
1.24,2.67,0.67,0.22,7.5,6.8,18,6.8,4.051,22,19,TRUE,FALSE,59.77853294,9
1.24,2.67,0.67,0.22,7.5,6.8,18,6.8,4.415,22,21,TRUE,FALSE,59.77853294,9
1.24,2.67,0.67,0.22,7.5,6.8,18,6.8,4.78,23,22,TRUE,FALSE,59.77853294,9
1.24,2.67,0.67,0.22,7.5,6.8,18,6.8,5.144,24,23,TRUE,FALSE,59.77853294,9
11.22,4.36,1.73,3.91,8.15,4.2,9,4.2,3.02,10,4,TRUE,TRUE,493.9491462,10
11.22,4.36,1.73,3.91,8.15,4.2,9,4.2,4.446,10,5,TRUE,TRUE,494.1661108,10
11.22,4.36,1.73,3.91,8.15,4.2,9,4.2,5.873,11,7,TRUE,TRUE,494.2206608,10
11.22,4.36,1.73,3.91,8.15,4.2,9,4.2,7.299,12,8,TRUE,TRUE,494.2319392,10
11.22,4.36,1.73,3.91,8.15,4.2,9,4.2,8.725,12,9,TRUE,TRUE,494.2333895,10
11.22,4.36,1.73,3.91,8.15,4.2,9,4.2,10.151,13,11,TRUE,FALSE,494.2334244,10
11.22,4.36,1.73,3.91,8.15,4.2,9,4.2,11.578,14,12,TRUE,FALSE,494.2334244,10
11.22,4.36,1.73,3.91,8.15,4.2,9,4.2,13.004,14,13,TRUE,FALSE,494.2334244,10
11.22,4.36,1.73,3.91,8.15,4.2,9,4.2,14.43,15,14,TRUE,FALSE,494.2334244,10
11.22,4.36,1.73,3.91,8.15,4.2,9,4.2,15.856,16,15,TRUE,FALSE,494.2334244,10
11.22,4.36,1.73,3.91,8.15,4.2,9,4.2,17.282,17,17,TRUE,FALSE,494.2334244,10
11.22,4.36,1.73,3.91,8.15,4.2,9,4.2,18.709,18,18,TRUE,FALSE,494.2334244,10
11.22,4.36,1.73,3.91,8.15,4.2,9,4.2,20.135,19,19,TRUE,FALSE,494.2334244,10
3.01,1.49,1.51,1.76,3.92,6.8,4,6.8,2.835,5,3,TRUE,TRUE,187.2221619,11
3.01,1.49,1.51,1.76,3.92,6.8,4,6.8,4.174,6,4,TRUE,TRUE,187.2657971,11
3.01,1.49,1.51,1.76,3.92,6.8,4,6.8,5.513,6,4,TRUE,TRUE,187.2770421,11
3.01,1.49,1.51,1.76,3.92,6.8,4,6.8,6.851,7,5,TRUE,FALSE,187.2783334,11
3.01,1.49,1.51,1.76,3.92,6.8,4,6.8,8.19,7,6,TRUE,FALSE,187.2783334,11
3.01,1.49,1.51,1.76,3.92,6.8,4,6.8,9.529,7,6,TRUE,FALSE,187.2783334,11
3.01,1.49,1.51,1.76,3.92,6.8,4,6.8,10.868,8,7,TRUE,FALSE,187.2783334,11
3.01,1.49,1.51,1.76,3.92,6.8,4,6.8,12.207,8,8,TRUE,FALSE,187.2783334,11
3.01,1.49,1.51,1.76,3.92,6.8,4,6.8,13.545,9,9,TRUE,FALSE,187.2783334,11
3.01,1.49,1.51,1.76,3.92,6.8,4,6.8,14.884,9,9,TRUE,FALSE,187.2783334,11
3.01,1.49,1.51,1.76,3.92,6.8,4,6.8,16.223,10,10,TRUE,FALSE,187.2783334,11
3.01,1.49,1.51,1.76,3.92,6.8,4,6.8,17.562,11,11,TRUE,FALSE,187.2783334,11
3.01,1.49,1.51,1.76,3.92,6.8,4,6.8,18.901,11,11,TRUE,FALSE,187.2783334,11
1.46,2.78,0.23,2.69,7.19,3.1,5,3.1,1.154,6,3,TRUE,TRUE,42.98478706,12
1.46,2.78,0.23,2.69,7.19,3.1,5,3.1,1.699,7,4,TRUE,TRUE,43.03129206,12
1.46,2.78,0.23,2.69,7.19,3.1,5,3.1,2.244,7,4,TRUE,TRUE,43.05536777,12
1.46,2.78,0.23,2.69,7.19,3.1,5,3.1,2.789,7,5,TRUE,TRUE,43.0639571,12
1.46,2.78,0.23,2.69,7.19,3.1,5,3.1,3.334,7,6,TRUE,FALSE,43.06610952,12
1.46,2.78,0.23,2.69,7.19,3.1,5,3.1,3.879,8,6,TRUE,FALSE,43.06610952,12
1.46,2.78,0.23,2.69,7.19,3.1,5,3.1,4.424,8,7,TRUE,FALSE,43.06610952,12
1.46,2.78,0.23,2.69,7.19,3.1,5,3.1,4.969,8,8,TRUE,FALSE,43.06610952,12
1.46,2.78,0.23,2.69,7.19,3.1,5,3.1,5.514,9,8,TRUE,FALSE,43.06610952,12
1.46,2.78,0.23,2.69,7.19,3.1,5,3.1,6.059,9,9,TRUE,FALSE,43.06610952,12
1.46,2.78,0.23,2.69,7.19,3.1,5,3.1,6.604,10,10,TRUE,FALSE,43.06610952,12
1.46,2.78,0.23,2.69,7.19,3.1,5,3.1,7.149,10,10,TRUE,FALSE,43.06610952,12
1.46,2.78,0.23,2.69,7.19,3.1,5,3.1,7.694,11,11,TRUE,FALSE,43.06610952,12
1.29,1.02,0.8,0.76,2.49,6.4,3,6.4,1.273,4,2,TRUE,TRUE,43.37256744,13
1.29,1.02,0.8,0.76,2.49,6.4,3,6.4,1.874,5,3,TRUE,TRUE,43.39774022,13
1.29,1.02,0.8,0.76,2.49,6.4,3,6.4,2.475,5,3,TRUE,TRUE,43.41014541,13
1.29,1.02,0.8,0.76,2.49,6.4,3,6.4,3.076,5,4,TRUE,FALSE,43.41026383,13
1.29,1.02,0.8,0.76,2.49,6.4,3,6.4,3.677,5,5,TRUE,FALSE,43.41026383,13
1.29,1.02,0.8,0.76,2.49,6.4,3,6.4,4.279,6,5,TRUE,FALSE,43.41026383,13
1.29,1.02,0.8,0.76,2.49,6.4,3,6.4,4.88,6,5,TRUE,FALSE,43.41026383,13
1.29,1.02,0.8,0.76,2.49,6.4,3,6.4,5.481,6,6,TRUE,FALSE,43.41026383,13
1.29,1.02,0.8,0.76,2.49,6.4,3,6.4,6.082,7,6,TRUE,FALSE,43.41026383,13
1.29,1.02,0.8,0.76,2.49,6.4,3,6.4,6.683,7,7,TRUE,FALSE,43.41026383,13
1.29,1.02,0.8,0.76,2.49,6.4,3,6.4,7.284,7,7,TRUE,FALSE,43.41026383,13
1.29,1.02,0.8,0.76,2.49,6.4,3,6.4,7.885,8,8,TRUE,FALSE,43.41026383,13
1.29,1.02,0.8,0.76,2.49,6.4,3,6.4,8.486,9,9,TRUE,FALSE,43.41026383,13
1.2,2.55,1.01,1.74,3.5,9.9,10,9.9,3.471,12,5,TRUE,TRUE,290.3791743,14
1.2,2.55,1.01,1.74,3.5,9.9,10,9.9,5.11,13,7,TRUE,TRUE,290.3818732,14
1.2,2.55,1.01,1.74,3.5,9.9,10,9.9,6.75,14,9,TRUE,TRUE,290.3821185,14
1.2,2.55,1.01,1.74,3.5,9.9,10,9.9,8.389,15,10,TRUE,TRUE,290.3821306,14
1.2,2.55,1.01,1.74,3.5,9.9,10,9.9,10.028,16,12,TRUE,FALSE,290.3821307,14
1.2,2.55,1.01,1.74,3.5,9.9,10,9.9,11.667,17,14,TRUE,FALSE,290.3821307,14
1.2,2.55,1.01,1.74,3.5,9.9,10,9.9,13.306,18,15,TRUE,FALSE,290.3821307,14
1.2,2.55,1.01,1.74,3.5,9.9,10,9.9,14.945,19,17,TRUE,FALSE,290.3821307,14
1.2,2.55,1.01,1.74,3.5,9.9,10,9.9,16.585,20,19,TRUE,FALSE,290.3821307,14
1.2,2.55,1.01,1.74,3.5,9.9,10,9.9,18.224,21,20,TRUE,FALSE,290.3821307,14
1.2,2.55,1.01,1.74,3.5,9.9,10,9.9,19.863,22,22,TRUE,FALSE,290.3821307,14
1.2,2.55,1.01,1.74,3.5,9.9,10,9.9,21.502,24,23,TRUE,FALSE,290.3821307,14
1.2,2.55,1.01,1.74,3.5,9.9,10,9.9,23.141,25,25,TRUE,FALSE,290.3821307,14
8.09,2.93,1.35,0.97,6.45,5.9,13,5.9,1.745,14,5,TRUE,TRUE,210.3662038,15
8.09,2.93,1.35,0.97,6.45,5.9,13,5.9,2.569,14,6,TRUE,TRUE,210.8183071,15
8.09,2.93,1.35,0.97,6.45,5.9,13,5.9,3.393,14,8,TRUE,TRUE,211.116559,15
8.09,2.93,1.35,0.97,6.45,5.9,13,5.9,4.218,15,9,TRUE,TRUE,211.29651,15
8.09,2.93,1.35,0.97,6.45,5.9,13,5.9,5.042,15,10,TRUE,TRUE,211.3919681,15
8.09,2.93,1.35,0.97,6.45,5.9,13,5.9,5.866,16,12,TRUE,TRUE,211.4327998,15
8.09,2.93,1.35,0.97,6.45,5.9,13,5.9,6.69,16,13,TRUE,TRUE,211.4441607,15
8.09,2.93,1.35,0.97,6.45,5.9,13,5.9,7.514,17,14,TRUE,FALSE,211.445539,15
8.09,2.93,1.35,0.97,6.45,5.9,13,5.9,8.338,17,15,TRUE,FALSE,211.445539,15
8.09,2.93,1.35,0.97,6.45,5.9,13,5.9,9.162,18,16,TRUE,FALSE,211.445539,15
8.09,2.93,1.35,0.97,6.45,5.9,13,5.9,9.987,18,18,TRUE,FALSE,211.445539,15
8.09,2.93,1.35,0.97,6.45,5.9,13,5.9,10.811,19,19,TRUE,FALSE,211.445539,15
8.09,2.93,1.35,0.97,6.45,5.9,13,5.9,11.635,20,20,TRUE,FALSE,211.445539,15
23.9,3.88,2.39,1.96,4.8,4.1,7,4.1,2.274,8,4,TRUE,TRUE,464.3372002,16
23.9,3.88,2.39,1.96,4.8,4.1,7,4.1,3.348,9,5,TRUE,TRUE,464.4089335,16
23.9,3.88,2.39,1.96,4.8,4.1,7,4.1,4.422,9,6,TRUE,TRUE,464.4251641,16
23.9,3.88,2.39,1.96,4.8,4.1,7,4.1,5.495,10,7,TRUE,TRUE,464.4278293,16
23.9,3.88,2.39,1.96,4.8,4.1,7,4.1,6.569,10,8,TRUE,FALSE,464.4280026,16
23.9,3.88,2.39,1.96,4.8,4.1,7,4.1,7.643,11,9,TRUE,FALSE,464.4280026,16
23.9,3.88,2.39,1.96,4.8,4.1,7,4.1,8.717,12,10,TRUE,FALSE,464.4280026,16
23.9,3.88,2.39,1.96,4.8,4.1,7,4.1,9.791,12,11,TRUE,FALSE,464.4280026,16
23.9,3.88,2.39,1.96,4.8,4.1,7,4.1,10.864,13,12,TRUE,FALSE,464.4280026,16
23.9,3.88,2.39,1.96,4.8,4.1,7,4.1,11.938,14,13,TRUE,FALSE,464.4280026,16
23.9,3.88,2.39,1.96,4.8,4.1,7,4.1,13.012,15,15,TRUE,FALSE,464.4280026,16
23.9,3.88,2.39,1.96,4.8,4.1,7,4.1,14.086,16,16,TRUE,FALSE,464.4280026,16
23.9,3.88,2.39,1.96,4.8,4.1,7,4.1,15.16,17,17,TRUE,FALSE,464.4280026,16
20.65,0.65,2.03,1.66,7.32,8.1,3,8.1,3.811,4,2,TRUE,TRUE,1186.211179,17
20.65,0.65,2.03,1.66,7.32,8.1,3,8.1,5.61,4,3,TRUE,TRUE,1186.447673,17
20.65,0.65,2.03,1.66,7.32,8.1,3,8.1,7.41,5,3,TRUE,TRUE,1186.583274,17
20.65,0.65,2.03,1.66,7.32,8.1,3,8.1,9.21,5,4,TRUE,FALSE,1186.636467,17
20.65,0.65,2.03,1.66,7.32,8.1,3,8.1,11.009,5,4,TRUE,FALSE,1186.636467,17
20.65,0.65,2.03,1.66,7.32,8.1,3,8.1,12.809,5,5,TRUE,FALSE,1186.636467,17
20.65,0.65,2.03,1.66,7.32,8.1,3,8.1,14.608,5,5,TRUE,FALSE,1186.636467,17
20.65,0.65,2.03,1.66,7.32,8.1,3,8.1,16.408,6,5,TRUE,FALSE,1186.636467,17
20.65,0.65,2.03,1.66,7.32,8.1,3,8.1,18.207,6,6,TRUE,FALSE,1186.636467,17
20.65,0.65,2.03,1.66,7.32,8.1,3,8.1,20.007,6,6,TRUE,FALSE,1186.636467,17
20.65,0.65,2.03,1.66,7.32,8.1,3,8.1,21.807,7,7,TRUE,FALSE,1186.636467,17
20.65,0.65,2.03,1.66,7.32,8.1,3,8.1,23.606,7,7,TRUE,FALSE,1186.636467,17
20.65,0.65,2.03,1.66,7.32,8.1,3,8.1,25.406,8,8,TRUE,FALSE,1186.636467,17
7.3,7.43,2.93,0.74,3.23,5.1,17,5.1,2.386,19,7,TRUE,TRUE,229.0956014,18
7.3,7.43,2.93,0.74,3.23,5.1,17,5.1,3.513,20,10,TRUE,TRUE,229.1046069,18
7.3,7.43,2.93,0.74,3.23,5.1,17,5.1,4.64,21,12,TRUE,TRUE,229.1050348,18
7.3,7.43,2.93,0.74,3.23,5.1,17,5.1,5.767,23,15,TRUE,TRUE,229.1050515,18
7.3,7.43,2.93,0.74,3.23,5.1,17,5.1,6.894,24,17,TRUE,TRUE,229.1050518,18
7.3,7.43,2.93,0.74,3.23,5.1,17,5.1,8.021,26,20,TRUE,FALSE,229.1050518,18
7.3,7.43,2.93,0.74,3.23,5.1,17,5.1,9.148,27,22,TRUE,FALSE,229.1050518,18
7.3,7.43,2.93,0.74,3.23,5.1,17,5.1,10.275,28,25,TRUE,FALSE,229.1050518,18
7.3,7.43,2.93,0.74,3.23,5.1,17,5.1,11.402,30,27,TRUE,FALSE,229.1050518,18
7.3,7.43,2.93,0.74,3.23,5.1,17,5.1,12.529,31,29,TRUE,FALSE,229.1050518,18
7.3,7.43,2.93,0.74,3.23,5.1,17,5.1,13.656,33,32,TRUE,FALSE,229.1050518,18
7.3,7.43,2.93,0.74,3.23,5.1,17,5.1,14.783,35,34,TRUE,FALSE,229.1050518,18
7.3,7.43,2.93,0.74,3.23,5.1,17,5.1,15.909,37,37,TRUE,FALSE,229.1050518,18
4.5,0.42,1.6,2.97,8.88,6.8,2,6.8,3.962,3,2,TRUE,TRUE,339.1638887,19
4.5,0.42,1.6,2.97,8.88,6.8,2,6.8,5.833,3,2,TRUE,TRUE,339.9135471,19
4.5,0.42,1.6,2.97,8.88,6.8,2,6.8,7.704,3,2,TRUE,TRUE,340.5367948,19
4.5,0.42,1.6,2.97,8.88,6.8,2,6.8,9.575,3,3,TRUE,FALSE,340.975912,19
4.5,0.42,1.6,2.97,8.88,6.8,2,6.8,11.446,3,3,TRUE,FALSE,340.975912,19
4.5,0.42,1.6,2.97,8.88,6.8,2,6.8,13.317,3,3,TRUE,FALSE,340.975912,19
4.5,0.42,1.6,2.97,8.88,6.8,2,6.8,15.188,3,3,TRUE,FALSE,340.975912,19
4.5,0.42,1.6,2.97,8.88,6.8,2,6.8,17.059,4,4,TRUE,FALSE,340.975912,19
4.5,0.42,1.6,2.97,8.88,6.8,2,6.8,18.93,4,4,TRUE,FALSE,340.975912,19
4.5,0.42,1.6,2.97,8.88,6.8,2,6.8,20.801,4,4,TRUE,FALSE,340.975912,19
4.5,0.42,1.6,2.97,8.88,6.8,2,6.8,22.673,4,4,TRUE,FALSE,340.975912,19
4.5,0.42,1.6,2.97,8.88,6.8,2,6.8,24.544,5,5,TRUE,FALSE,340.975912,19
4.5,0.42,1.6,2.97,8.88,6.8,2,6.8,26.415,5,5,TRUE,FALSE,340.975912,19
19.35,1.43,0.45,1.59,9.49,9.6,12,9.6,2.497,13,5,TRUE,TRUE,1477.58775,20
19.35,1.43,0.45,1.59,9.49,9.6,12,9.6,3.676,13,6,TRUE,TRUE,1478.579229,20
